21 | 23
63 56 16 82 7 60 45 99 | 15 13 23 20 0 89 12 99
82 58 85 12 6 41 91 91 83 | 13 66 99 77 59 29 52 14 81
64 55 48 42 40 24 6 95 | 45 9 69 29 45 4 18 84
11 38 9 86 | 34 88 61 99
37 69 38 14 78 16 93 9 | 5 48 27 4 56 20 21 65
18 30 12 64 73 37 55 | 41 48 94 61 37 36 26
20 34 59 | 53 18 34
12 13 50 66 31 90 91 | 20 65 11 68 38 94 55
42 48 62 48 89 11 53 90 | 48 96 7 16 83 80 77 85
52 18 70 87 2 21 64 85 97 49 | 9 40 23 83 84 27 1 29 50 49
25 90 18 64 73 51 19 55 | 39 35 25 17 39 91 35 66
69 10 | 74 99
12 32 | 58 66
22 8 37 35 | 36 16 32 64
87 90 87 38 60 47 | 84 57 41 3 74 59
68 52 47 86 57 70 34 34 | 14 97 21 19 34 60 85 66
25 79 | 18 94
81 | 56
90 80 35 48 43 17 | 38 36 51 55 25 87
86 | 41
16 79 38 38 22 90 | 7 24 4 1 35 79
10 19 21 47 84 46 13 8 | 19 68 66 67 38 9 48 36
0 1 2 3 4 5 6 7 8 9 | 1 2 3 4 5 6 7 8 9 10
30 45 47 45 6 46 72 | 96 20 61 82 90 16 13
96 43 10 | 11 23 48
78 75 | 41 96
93 | 69
73 | 69
46 23 68 67 50 82 | 47 73 92 53 74 40
69 20 23 69 97 | 24 22 41 95 28
76 83 52 6 31 | 46 84 24 41 3
68 63 43 34 42 36 69 35 39 98 | 32 30 88 82 31 75 25 69 18 3
44 96 | 69 44
71 32 | 4 39
19 3 11 | 47 58 63
48 54 | 52 27
89 79 0 5 63 94 96 1 64 62 | 83 87 4 54 52 31 52 78 14 11
63 | 40
93 83 76 99 4 38 37 | 52 75 38 9 30 70 47
